date,open,close,high,low,vol,amount,code,pchange,change
2000-01-04,9.1,9.35,9.5,8.9,3142.0,2891600.75,000860,,
2000-01-05,9.32,9.75,9.9,9.2,10819.0,10489688.0,000860,4.28,0.4
2000-01-06,9.8,10.62,10.63,9.55,23213.0,23886868.0,000860,8.92,0.87
2000-01-07,10.55,10.9,11.05,10.42,31581.0,34070592.0,000860,2.64,0.28
2000-01-10,11.0,11.05,11.18,10.68,22612.0,24728812.0,000860,1.38,0.15
2000-01-11,11.0,11.08,11.58,10.75,55492.0,62599424.0,000860,0.27,0.03
2000-01-12,11.08,10.83,11.23,10.5,18015.0,19455340.0,000860,-2.26,-0.25
2000-01-13,10.73,10.54,10.75,10.35,6434.0,6754666.0,000860,-2.68,-0.29
2000-01-14,10.6,10.36,10.6,10.0,5278.0,5430002.0,000860,-1.71,-0.18
2000-01-17,10.4,10.54,10.64,10.06,3250.0,3394582.25,000860,1.74,0.18
2000-01-18,10.54,10.59,10.86,10.38,5959.0,6332249.5,000860,0.47,0.05
2000-01-19,10.8,11.28,11.3,10.49,23942.0,26241718.0,000860,6.52,0.69
2000-01-20,11.46,11.26,11.56,10.62,33137.0,37836036.0,000860,-0.18,-0.02
2000-01-21,11.2,11.09,11.44,10.65,15614.0,17156044.0,000860,-1.51,-0.17
2000-01-24,11.0,10.86,11.0,10.65,7431.0,8045941.0,000860,-2.07,-0.23
2000-01-25,10.78,11.33,11.35,10.78,20887.0,23219828.0,000860,4.33,0.47
2000-01-26,11.3,11.23,11.49,11.1,16578.0,18816108.0,000860,-0.88,-0.1
2000-01-27,11.21,10.8,11.21,10.6,16740.0,18228964.0,000860,-3.83,-0.43
2000-01-28,10.73,11.07,11.15,10.35,18697.0,19798372.0,000860,2.5,0.27
2000-02-14,11.38,12.18,12.18,11.01,60430.0,71593664.0,000860,10.03,1.11
2000-02-15,12.3,12.01,13.4,11.91,145151.0,187537680.0,000860,-1.4,-0.17
2000-02-16,11.77,12.41,12.8,11.76,100287.0,122844424.0,000860,3.33,0.4
2000-02-17,12.51,11.17,13.5,11.17,50879.0,60885000.0,000860,-9.99,-1.24
2000-02-18,11.0,12.01,12.1,10.8,21657.0,24982444.0,000860,7.52,0.84
2000-02-21,12.58,13.21,13.21,12.28,89877.0,116133736.0,000860,9.99,1.2
2000-02-22,13.3,12.6,13.4,12.0,36069.0,45930872.0,000860,-4.62,-0.61
2000-02-23,12.3,11.65,12.4,11.6,22975.0,27514222.0,000860,-7.54,-0.95
2000-02-24,11.69,12.17,12.2,11.69,11821.0,14108574.0,000860,4.46,0.52
2000-02-25,12.25,11.9,12.87,11.7,15129.0,18296482.0,000860,-2.22,-0.27
2000-02-28,11.95,12.07,12.2,11.48,18933.0,22380192.0,000860,1.43,0.17
2000-02-29,12.0,12.01,12.3,11.6,26747.0,31631526.0,000860,-0.5,-0.06
2000-03-01,11.95,11.84,12.46,11.76,14654.0,17756242.0,000860,-1.42,-0.17
2000-03-02,11.8,11.91,12.09,11.78,11929.0,14189457.0,000860,0.59,0.07
2000-03-03,12.4,12.73,12.95,12.21,45092.0,56901336.0,000860,6.88,0.82
2000-03-06,12.78,11.81,12.89,11.55,19862.0,24389764.0,000860,-7.23,-0.92
2000-03-07,11.7,11.72,11.98,11.51,11948.0,13935739.0,000860,-0.76,-0.09
2000-03-08,11.85,11.8,11.91,11.56,9765.0,11458065.0,000860,0.68,0.08
2000-03-09,11.65,11.72,11.86,11.6,7478.0,8723199.0,000860,-0.68,-0.08
2000-03-10,11.73,11.18,11.77,11.11,15663.0,17791624.0,000860,-4.61,-0.54
2000-03-13,11.13,10.99,11.2,10.82,14874.0,16237257.0,000860,-1.7,-0.19
2000-03-14,10.99,10.69,10.99,10.26,12188.0,12949969.0,000860,-2.73,-0.3
2000-03-15,10.71,10.89,11.3,10.71,7644.0,8420079.0,000860,1.87,0.2
2000-03-16,10.74,10.32,10.89,10.28,7767.0,8142748.0,000860,-5.23,-0.57
2000-03-17,10.31,10.82,10.84,9.7,9892.0,10315010.0,000860,4.84,0.5
2000-03-20,10.75,11.02,11.3,10.4,10415.0,11463014.0,000860,1.85,0.2
2000-03-21,11.05,11.05,11.26,10.9,10668.0,11799090.0,000860,0.27,0.03
2000-03-22,11.1,11.15,11.2,10.91,9150.0,10130527.0,000860,0.9,0.1
2000-03-23,11.1,11.76,11.9,10.1,21388.0,24494486.0,000860,5.47,0.61
2000-03-24,11.8,11.4,11.98,11.38,22415.0,26343366.0,000860,-3.06,-0.36
2000-03-27,11.35,11.76,11.95,11.22,13453.0,15636168.0,000860,3.16,0.36
2000-03-28,11.8,11.96,12.3,11.76,19687.0,23743146.0,000860,1.7,0.2
2000-03-29,12.2,11.74,12.27,11.6,9107.0,10762756.0,000860,-1.84,-0.22
2000-03-30,11.85,11.81,11.95,11.65,8709.0,10280285.0,000860,0.6,0.07
2000-03-31,11.93,12.01,12.21,11.8,15120.0,18198998.0,000860,1.69,0.2
2000-04-03,12.0,11.7,12.14,11.65,12227.0,14597866.0,000860,-2.58,-0.31
2000-04-04,11.61,11.18,11.7,11.0,12443.0,14034534.0,000860,-4.44,-0.52
2000-04-05,11.18,11.2,11.4,11.08,7149.0,8009663.5,000860,0.18,0.02
2000-04-06,11.2,11.6,11.6,11.15,5630.0,6439961.5,000860,3.57,0.4
2000-04-07,11.85,11.61,11.9,11.58,6222.0,7285159.0,000860,0.09,0.01
2000-04-10,11.62,12.03,12.1,11.48,15212.0,18022100.0,000860,3.62,0.42
2000-04-11,12.1,11.88,12.1,11.8,10123.0,12056367.0,000860,-1.25,-0.15
2000-04-12,11.9,11.72,12.0,11.6,5559.0,6518263.5,000860,-1.35,-0.16
2000-04-13,11.76,12.07,12.3,11.61,21571.0,26072272.0,000860,2.99,0.35
2000-04-14,12.2,12.73,12.86,12.2,50655.0,63613708.0,000860,5.47,0.66
2000-04-17,12.79,12.3,12.9,12.11,36552.0,45708972.0,000860,-3.38,-0.43
2000-04-18,12.4,13.1,13.3,12.35,47843.0,61585072.0,000860,6.5,0.8
2000-04-19,13.2,12.89,13.48,12.78,55878.0,73749984.0,000860,-1.6,-0.21
2000-04-21,12.92,12.49,13.37,12.4,24122.0,31090918.0,000860,-3.1,-0.4
2000-04-24,12.68,12.37,12.8,12.02,19236.0,23711016.0,000860,-0.96,-0.12
2000-04-25,12.41,12.46,12.59,12.15,8467.0,10476273.0,000860,0.73,0.09
2000-04-26,12.46,12.02,12.6,11.8,13110.0,15994707.0,000860,-3.53,-0.44
2000-04-27,12.3,12.34,12.89,11.0,26989.0,32513510.0,000860,2.66,0.32
2000-04-28,12.34,12.49,12.5,12.08,14082.0,17233290.0,000860,1.22,0.15
2000-05-08,12.44,12.63,12.7,12.23,9998.0,12542236.0,000860,1.12,0.14
2000-05-09,12.6,12.33,12.7,12.28,7604.0,9451270.0,000860,-2.38,-0.3
2000-05-10,12.3,11.62,12.3,11.52,11230.0,13273706.0,000860,-5.76,-0.71
2000-05-11,11.5,11.21,11.76,11.1,6255.0,7123012.0,000860,-3.53,-0.41
2000-05-12,11.25,11.24,11.48,11.12,4873.0,5490822.5,000860,0.27,0.03
2000-05-15,11.22,11.34,11.45,11.2,2998.0,3393326.75,000860,0.89,0.1
2000-05-16,11.45,11.37,11.52,11.34,3365.0,3845631.0,000860,0.26,0.03
2000-05-17,11.35,11.37,11.5,11.35,2451.0,2796412.5,000860,0.0,0.0
2000-05-18,11.4,11.59,11.6,11.29,4192.0,4807704.5,000860,1.93,0.22
2000-05-19,11.61,11.82,11.88,11.41,7201.0,8406808.0,000860,1.98,0.23
2000-05-22,11.8,12.14,12.15,11.7,25859.0,30865438.0,000860,2.71,0.32
2000-05-23,12.15,12.12,12.37,11.86,10787.0,13037598.0,000860,-0.16,-0.02
2000-05-24,12.16,12.26,12.46,12.1,12536.0,15366797.0,000860,1.16,0.14
2000-05-25,12.1,12.31,12.4,12.1,11414.0,14005078.0,000860,0.41,0.05
2000-05-26,12.49,12.48,12.7,12.17,16741.0,20798600.0,000860,1.38,0.17
2000-05-29,12.5,12.57,12.9,12.5,19017.0,24118108.0,000860,0.72,0.09
2000-05-30,12.7,12.13,12.7,12.1,13080.0,16083635.0,000860,-3.5,-0.44
2000-05-31,12.2,12.25,12.44,12.05,9156.0,11226382.0,000860,0.99,0.12
2000-06-01,12.35,12.2,12.38,12.06,8859.0,10785129.0,000860,-0.41,-0.05
2000-06-02,12.25,12.34,12.35,12.01,11776.0,14278252.0,000860,1.15,0.14
2000-06-05,12.4,12.1,12.45,12.0,12904.0,15730728.0,000860,-1.94,-0.24
2000-06-06,12.15,12.68,12.78,12.04,20646.0,25804614.0,000860,4.79,0.58
2000-06-07,12.75,12.6,12.9,12.47,17730.0,22459388.0,000860,-0.63,-0.08
2000-06-08,12.7,12.75,12.8,12.37,16752.0,21148440.0,000860,1.19,0.15
2000-06-09,12.74,12.9,13.2,12.65,45089.0,58490172.0,000860,1.18,0.15
2000-06-12,13.0,13.59,14.0,12.95,74888.0,101616432.0,000860,5.35,0.69
2000-06-13,13.6,13.8,13.81,13.48,38487.0,52550928.0,000860,1.55,0.21
2000-06-14,13.9,13.7,14.0,13.56,30960.0,42681392.0,000860,-0.72,-0.1
2000-06-15,13.68,13.38,13.68,13.2,22661.0,30347742.0,000860,-2.34,-0.32
2000-06-16,13.38,13.36,13.77,13.2,19058.0,25666426.0,000860,-0.15,-0.02
2000-06-19,13.4,13.38,13.7,13.28,11024.0,14859033.0,000860,0.15,0.02
2000-06-20,13.42,13.9,14.0,13.32,25183.0,34431984.0,000860,3.89,0.52
2000-06-21,13.9,14.06,14.2,13.71,25763.0,36147984.0,000860,1.15,0.16
2000-06-22,14.1,13.88,14.2,13.8,16664.0,23269442.0,000860,-1.28,-0.18
